nom_estab,scian_6dig,scian_rama,es_prioritario,score_fit_base,score_estrato,score_pob,score_volumen,es_farmacia,es_retail_moderno,score_margen,distancia_centro_m,score_accesibilidad,es_competencia,score_competencia,perfil_cliente,score_fit,tiene_telefono,tiene_correo,tiene_web,score_contactabilidad,score_antiguedad,score_total_raw,score_total,decil_prioridad,nombre,lon,lat
PUESTO LUPITA,462112,4621,True,8,2,5,2.9,False,True,8,2463318.494974671,0.26730357930557225,False,10.0,C,8,False,False,False,2,5,4.883460715861115,98.07183468787355,D1,PUESTO LUPITA,-111.5151416,28.849697580000015
PUESTO KALE,462112,4621,True,8,2,5,2.9,False,True,8,2463324.9761693086,0.26727797177654944,False,10.0,C,8,False,False,False,2,5,4.88345559435531,98.07137840380624,D1,PUESTO KALE,-111.50810437,28.84528381
PUESTO SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463332.1460140725,0.26724964335592016,False,10.0,C,8,False,False,False,2,5,4.883449928671184,98.07087363792371,D1,PUESTO SIN NOMBRE,-111.51266286,28.848270120000024
PUESTO DOÑA MARY,462112,4621,True,8,2,5,2.9,False,True,8,2463332.740524292,0.26724729441586326,False,10.0,C,8,False,False,False,2,5,4.883449458883173,98.07083178367367,D1,PUESTO DOÑA MARY,-111.51204337,28.84788188
PUESTO GARCIA,462112,4621,True,8,2,5,2.9,False,True,8,2463344.1147237006,0.26720235437660445,False,10.0,C,8,False,False,False,2,5,4.88344047087532,98.07003102605731,D1,PUESTO GARCIA,-111.50993472,28.846664430000015
PUESTO EL PUTERITO,462112,4621,True,8,2,5,2.9,False,True,8,2463347.3011719184,0.2671897645579402,False,10.0,C,8,False,False,False,2,5,4.883437952911588,98.06980669618693,D1,PUESTO EL PUTERITO,-111.51105018,28.84741113
PUESTO ALVAREZ,462112,4621,True,8,2,5,2.9,False,True,8,2463350.5593004082,0.2671768915268824,False,10.0,C,8,False,False,False,2,5,4.883435378305376,98.06957731993727,D1,PUESTO ALVAREZ,-111.51597133,28.85058377
PUESTO EL MEZQUITE,462112,4621,True,8,2,5,2.9,False,True,8,2463352.8973281733,0.2671676538604961,False,10.0,C,8,False,False,False,2,5,4.883433530772099,98.06941271990944,D1,PUESTO EL MEZQUITE,-111.50507215,28.84366111000001
PUESTO EL DIEZ,462112,4621,True,8,2,5,2.9,False,True,8,2463377.964311633,0.2670686129363553,False,10.0,C,8,False,False,False,2,5,4.883413722587272,98.06764797346877,D1,PUESTO EL DIEZ,-111.5141781,28.84974673
PUESTO VIKY,462112,4621,True,8,2,5,2.9,False,True,8,2463408.371535277,0.26694847245215536,False,10.0,C,8,False,False,False,2,5,4.883389694490432,98.06550726755633,D1,PUESTO VIKY,-111.50520773,28.844366409999985
PUESTO LA PASADITA,462112,4621,True,8,2,5,2.9,False,True,8,2463411.8773421794,0.2669346208311163,False,10.0,C,8,False,False,False,2,5,4.883386924166223,98.06526045444203,D1,PUESTO LA PASADITA,-111.50749002,28.845861270000018
PUESTO SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463445.7041314696,0.2668009694694595,False,10.0,C,8,False,False,False,2,5,4.883360193893892,98.06287900690576,D1,PUESTO SIN NOMBRE,-111.50750896000001,28.846250640000022
PUESTO SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463452.822389651,0.2667728448700357,False,10.0,C,8,False,False,False,2,5,4.883354568974007,98.06237787278206,D1,PUESTO SIN NOMBRE,-111.50738544,28.846251260000013
PUESTO SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463455.3084008982,0.2667630225133988,False,10.0,C,8,False,False,False,2,5,4.88335260450268,98.0622028545352,D1,PUESTO SIN NOMBRE,-111.50817622,28.846783279999986
PUESTO BAUTISTA,462112,4621,True,8,2,5,2.9,False,True,8,2463463.268214713,0.2667315728849484,False,10.0,C,8,False,False,False,2,5,4.88334631457699,98.0616424738607,D1,PUESTO BAUTISTA,-111.50578544,28.84534728
PUESTO SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463465.162731852,0.26672408755155974,False,10.0,C,8,False,False,False,2,5,4.883344817510312,98.06150909752593,D1,PUESTO SIN NOMBRE,-111.50642467,28.84577614000003
PUESTO DOMINGA,462112,4621,True,8,2,5,2.9,False,True,8,2463478.050671387,0.26667316664821694,False,10.0,C,8,False,False,False,2,5,4.8833346333296435,98.06060177074447,D1,PUESTO DOMINGA,-111.50636051,28.84587897
PUESTO KIMBERLY,462112,4621,True,8,2,5,2.9,False,True,8,2463486.002185721,0.26664174981143596,False,10.0,C,8,False,False,False,2,5,4.883328349962287,98.06004197436363,D1,PUESTO KIMBERLY,-111.51152405,28.84925998
PUESTO ALANA,462112,4621,True,8,2,5,2.9,False,True,8,2463491.050406541,0.26662180403470903,False,10.0,C,8,False,False,False,2,5,4.8833243608069425,98.05968657341411,D1,PUESTO ALANA,-111.51440967,28.85115525
PUESTO POBLADO,462112,4621,True,8,2,5,2.9,False,True,8,2463498.266710849,0.26659329205006244,False,10.0,C,8,False,False,False,2,5,4.883318658410013,98.05917853672258,D1,PUESTO POBLADO,-111.50996198,28.84840099
PAZ DE CRISTO,462112,4621,True,8,2,5,2.9,False,True,8,2463501.199887049,0.26658170292199856,False,10.0,C,8,False,False,False,2,5,4.8833163405844,98.05897203751346,D1,PAZ DE CRISTO,-111.51356371000001,28.85072937
PUESTO SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463530.0901770657,0.26646755591956506,False,10.0,C,8,False,False,False,2,5,4.883293511183913,98.05693812559261,D1,PUESTO SIN NOMBRE,-111.5089772,28.84812804999999
PUESTO COCA-COLA,462112,4621,True,8,2,5,2.9,False,True,8,2463545.2049816437,0.2664078365593947,False,10.0,C,8,False,False,False,2,5,4.883281567311879,98.05587402477548,D1,PUESTO COCA-COLA,-111.50162379000001,28.843606110000014
PUESTO RAQUEL,462112,4621,True,8,2,5,2.9,False,True,8,2463550.285649529,0.26638776258266605,False,10.0,C,8,False,False,False,2,5,4.883277552516533,98.05551633951262,D1,PUESTO RAQUEL,-111.5049984,28.84581587
PUESTO DANI,462112,4621,True,8,2,5,2.9,False,True,8,2463550.9379403014,0.26638518534871203,False,10.0,C,8,False,False,False,2,5,4.8832770370697425,98.05547041744069,D1,PUESTO DANI,-111.51093931,28.8496114
PUESTO PEREZ,462112,4621,True,8,2,5,2.9,False,True,8,2463553.2727197036,0.2663759605167726,False,10.0,C,8,False,False,False,2,5,4.883275192103354,98.05530604610149,D1,PUESTO PEREZ,-111.50494717,28.84581651
PUESTO SEÑOR DE LA COLUMNA,462112,4621,True,8,2,5,2.9,False,True,8,2463565.3459340455,0.26632825863402654,False,10.0,C,8,False,False,False,2,5,4.883265651726805,98.05445607697486,D1,PUESTO SEÑOR DE LA COLUMNA,-111.51596295,28.852973219999964
PUESTO SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463614.7560486407,0.26613303676302325,False,10.0,C,8,False,False,False,2,5,4.883226607352605,98.05097754418668,D1,PUESTO SIN NOMBRE,-111.49524142,28.84030765000001
PUESTO GONZALO,462112,4621,True,8,2,5,2.9,False,True,8,2463618.6544904253,0.2661176338216331,False,10.0,C,8,False,False,False,2,5,4.8832235267643265,98.05070308909413,D1,PUESTO GONZALO,-111.50995768,28.84974083000002
TIENDITA ESCOLAR 19 DE ABRIL,462112,4621,True,8,2,5,2.9,False,True,8,2463629.3742221436,0.2660752796174415,False,10.0,C,8,False,False,False,2,5,4.883215055923489,98.0499484068076,D1,TIENDITA ESCOLAR 19 DE ABRIL,-111.50618305,28.847453630000032
PUESTO MIGUEL,462112,4621,True,8,2,5,2.9,False,True,8,2463630.648460402,0.2660702450373964,False,10.0,C,8,False,False,False,2,5,4.883214049007479,98.04985869886815,D1,PUESTO MIGUEL,-111.50014362,28.8436147
PUESTO LA SEIBA,462112,4621,True,8,2,5,2.9,False,True,8,2463635.428568635,0.2660513585871127,False,10.0,C,8,False,False,False,2,5,4.883210271717423,98.0495221733743,D1,PUESTO LA SEIBA,-111.50479269,28.846634370000025
SUPER INVASION,462112,4621,True,8,2,5,2.9,False,True,8,2463635.7343671634,0.2660501503616042,False,10.0,C,8,False,False,False,2,5,4.883210030072321,98.04950064478207,D1,SUPER INVASION,-111.50972276,28.84978154999996
PUESTO SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463645.577587481,0.26601125929845093,False,10.0,C,8,False,False,False,2,5,4.88320225185969,98.04880766997525,D1,PUESTO SIN NOMBRE,-111.50602798,28.847535460000014
PUESTO VELASCO,462112,4621,True,8,2,5,2.9,False,True,8,2463660.3255720437,0.2659529892627832,False,10.0,C,8,False,False,False,2,5,4.883190597852557,98.04776939373805,D1,PUESTO VELASCO,-111.5022115,28.84526539
PUESTO SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463670.2043038043,0.26591395789211547,False,10.0,C,8,False,False,False,2,5,4.883182791578423,98.04707391888195,D1,PUESTO SIN NOMBRE,-111.50147523,28.84490579
PUESTO EL MESON,462112,4621,True,8,2,5,2.9,False,True,8,2463673.223703193,0.2659020280918556,False,10.0,C,8,False,False,False,2,5,4.883180405618371,98.04686134945445,D1,PUESTO EL MESON,-111.50313045,28.84599558
MI CHANGARRITO,462112,4621,True,8,2,5,2.9,False,True,8,2463700.5046467097,0.26579423969914084,False,10.0,C,8,False,False,False,2,5,4.883158847939828,98.04494073750486,D1,MI CHANGARRITO,-111.51090979,28.85126048
PUESTO GARDENIA,462112,4621,True,8,2,5,2.9,False,True,8,2463701.204375262,0.2657914750361101,False,10.0,C,8,False,False,False,2,5,4.883158295007222,98.04489147575494,D1,PUESTO GARDENIA,-111.50927949,28.850229099999986
PUESTO MARTHA,462112,4621,True,8,2,5,2.9,False,True,8,2463726.884882183,0.26569001004962955,False,10.0,C,8,False,False,False,2,5,4.883138002009926,98.04308353650859,D1,PUESTO MARTHA,-111.5069581,28.84903546
DEPOSITO LAS LOMAS,462112,4621,True,8,2,5,2.9,False,True,8,2463730.1929228925,0.26567693981285667,False,10.0,C,8,False,False,False,2,5,4.883135387962571,98.04285064637725,D1,DEPOSITO LAS LOMAS,-111.49527651,28.84161818
PUESTO PIÑA,462112,4621,True,8,2,5,2.9,False,True,8,2463776.2424298427,0.26549499587325553,False,10.0,C,8,False,False,False,2,5,4.883098999174652,98.03960870449718,D1,PUESTO PIÑA,-111.50354497,28.84740917
PUESTO LUZ MARIA,462112,4621,True,8,2,5,2.9,False,True,8,2463800.12188577,0.265400646930678,False,10.0,C,8,False,False,False,2,5,4.883080129386136,98.03792756145407,D1,PUESTO LUZ MARIA,-111.50654769,28.849590579999973
PUESTO MARTINEZ,462112,4621,True,8,2,5,2.9,False,True,8,2463810.0891484506,0.2653612657698523,False,10.0,C,8,False,False,False,2,5,4.88307225315397,98.03722585391237,D1,PUESTO MARTINEZ,-111.5075288,28.850327309999983
PUESTO DON PABLO,462112,4621,True,8,2,5,2.9,False,True,8,2463810.0986907147,0.265361228067883,False,10.0,C,8,False,False,False,2,5,4.883072245613577,98.03722518212533,D1,PUESTO DON PABLO,-111.50345624,28.847730220000024
PUESTO DE ERIKA,462112,4621,True,8,2,5,2.9,False,True,8,2463813.0567659363,0.26534954056251947,False,10.0,C,8,False,False,False,2,5,4.883069908112504,98.0370169299945,D1,PUESTO DE ERIKA,-111.4920424,28.84047729999998
SIX RIO MUERTO,462112,4621,True,8,2,5,2.9,False,True,8,2463880.420106633,0.2650833845838163,False,10.0,C,8,False,False,False,2,5,4.883016676916763,98.03227446802563,D1,SIX RIO MUERTO,-111.50520333,28.849628890000016
OXXO SUC 50HCL CALLE 12 HMO,462112,4621,True,8,2,5,2.9,False,True,8,2463881.0670030457,0.2650808286632522,False,10.0,C,8,False,False,False,2,5,4.883016165732651,98.0322289257233,D1,OXXO SUC 50HCL CALLE 12 HMO,-111.48916525,28.83939814
